Time,Celsius,Fahrenheit,Humidity,Pressure,Dewpoint,X,Y,Z
2017-10-18 17:34:21.336862,33.9,93.0,36.5,1009.0,17.0,-0.99,0.12,0.13
2017-10-18 17:37:28.452011,34.4,93.9,37.1,1009.0,17.7,-0.0,-0.97,-0.02
2017-10-18 17:40:34.707636,34.3,93.7,34.6,1009.0,16.5,-1.01,0.05,0.09
2017-10-18 17:43:42.235569,34.1,93.4,35.8,1009.0,16.8,-1.0,0.05,0.09
2017-10-18 17:46:48.453455,34.1,93.4,35.1,1009.0,16.5,-1.01,0.05,0.09
2017-10-18 17:49:53.754595,34.0,93.2,35.7,1009.0,16.7,-1.0,0.06,0.09
